Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Compared to National,Denominator,Score,Start Date,End Date,EDAC_30_AMI Denominator,EDAC_30_AMI Score,EDAC_30_HF Denominator,EDAC_30_HF Score,EDAC_30_PN Denominator,EDAC_30_PN Score,OP_32 Denominator,OP_32 Score,OP_35_ADM Denominator,OP_35_ADM Score,OP_35_ED Denominator,OP_35_ED Score,OP_36 Denominator,OP_36 Score,READM_30_AMI Denominator,READM_30_AMI Score,READM_30_CABG Denominator,READM_30_CABG Score,READM_30_COPD Denominator,READM_30_COPD Score,READM_30_HF Denominator,READM_30_HF Score,READM_30_HIP_KNEE Denominator,READM_30_HIP_KNEE Score,READM_30_HOSP_WIDE Denominator,READM_30_HOSP_WIDE Score,READM_30_PN Denominator,READM_30_PN Score
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,Marion,(205) 921-6200,1,0,0,7/1/17,12/1/19,0,0,51,-13.9,121,-6.4,38,16,0,0,0,0,0,0,0,0,0,0,85,19.5,51,20.4,0,0,61,15.8,121,16.4
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,(205) 932-5966,0,0,0,7/1/17,12/1/19,0,0,32,-5.6,83,-6.7,299,14.8,0,0,0,0,0,0,0,0,0,0,51,20,32,21,0,0,85,15.9,83,16.5
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,(256) 543-5200,1,51,37.2,7/1/17,12/1/19,51,37.2,261,-12.3,278,22.5,385,13.6,0,0,0,0,289,1.8,51,17.1,0,0,201,18.8,261,21.6,83,3.7,599,15.1,278,18
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,Coffee,(334) 347-0584,1,0,0,7/1/17,12/1/19,0,0,88,5.9,139,9.1,912,14.7,0,0,0,0,130,0.9,0,0,0,0,118,18.8,88,22.6,194,4,356,16,139,17.7
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,Greene,(205) 372-3388,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,Tallapoosa,(256) 825-7821,1,0,0,7/1/17,12/1/19,0,0,0,0,57,-0.2,44,16.4,0,0,0,0,0,0,0,0,0,0,47,19.9,0,0,0,0,47,15.5,57,17.4
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,Houston,(334) 793-5000,0,262,0.2,7/1/17,12/1/19,262,0.2,433,12,410,28.3,815,18.7,0,0,0,0,801,0.9,262,15.3,59,12.3,256,19.5,433,22.1,451,4.3,1210,15.2,410,15.9
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,(205) 939-7000,1,179,24.6,7/1/17,12/1/19,179,24.6,378,21.3,468,30.4,2657,15.6,0,0,0,0,1215,0.8,179,16,80,13.5,218,19.7,378,21.7,1244,3.3,1620,14.7,468,16.8
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Bibb,(205) 926-4881,1,0,0,7/1/17,12/1/19,0,0,26,-31.5,58,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20.9,0,0,28,15.6,58,16.7
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,Lawrence,(256) 974-2200,1,0,0,7/1/17,12/1/19,0,0,36,-28.6,70,23.5,41,17.1,0,0,0,0,0,0,0,0,0,0,57,20.2,36,21.2,0,0,62,15,70,16.7
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,(256) 259-4444,1,0,0,7/1/17,12/1/19,0,0,80,-17.9,112,-1.2,385,14.9,0,0,0,0,109,0.9,0,0,0,0,151,18.5,80,21.1,32,4.2,214,15.3,112,16.7
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,(334) 684-3655,1,0,0,7/1/17,12/1/19,0,0,72,-32.7,89,24.6,182,17.4,0,0,0,0,0,0,0,0,0,0,63,19.5,72,19.7,0,0,77,15.1,89,16.4
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,(256) 329-7100,0,32,-24.9,7/1/17,12/1/19,32,-24.9,168,5.5,150,-17,689,17.5,78,12.2,78,5.6,201,1,32,16,0,0,105,19.6,168,23.1,0,0,195,14.8,150,16.4
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,(334) 688-7271,1,0,0,7/1/17,12/1/19,0,0,61,-0.4,75,16.5,70,18.1,0,0,0,0,0,0,0,0,0,0,42,20.4,61,22.2,0,0,66,15,75,17
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,Clay,(256) 354-2131,1,0,0,7/1/17,12/1/19,0,0,28,-31,49,-0.8,81,15.7,0,0,0,0,0,0,0,0,0,0,53,18.6,28,20.2,0,0,71,15.5,49,16.6
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,(256) 235-5121,0,258,-16.7,7/1/17,12/1/19,258,-16.7,391,6,333,-18.8,1134,18,78,11.4,78,5.3,449,1.3,258,13.9,26,14,411,19.7,391,21.4,254,4.6,998,15,333,15.3
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,Limestone,(256) 233-9292,1,0,0,7/1/17,12/1/19,0,0,154,-4.6,204,-11,579,15.5,0,0,0,0,347,0.8,0,0,0,0,127,19.4,154,25,168,4.1,419,15.6,204,16.4
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,Baldwin,(251) 949-3400,0,87,-14.8,7/1/17,12/1/19,87,-14.8,270,-5.6,350,20.3,1427,14.9,0,0,0,0,346,0.9,87,14.5,0,0,190,19.2,270,21.4,201,4.6,649,15.2,350,16.8
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,(256) 341-2000,0,35,22.7,7/1/17,12/1/19,35,22.7,429,6.1,536,26.7,98,17.7,0,0,0,0,467,1,35,16.8,0,0,301,18.9,429,22.3,146,5.5,1019,15.5,536,17
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,(205) 487-7736,1,0,0,7/1/17,12/1/19,0,0,49,-2.5,86,2.1,283,15.8,0,0,0,0,39,1.1,0,0,0,0,118,18.6,49,21.1,0,0,143,14.8,86,16.8
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,Mobile,(251) 471-7110,1,0,0,7/1/17,12/1/19,0,0,34,-10.5,34,-31.4,249,16.8,286,13.4,286,4.6,209,1.1,0,0,0,0,28,20,34,22.4,0,0,371,16.3,34,15.9
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,(205) 387-4000,1,0,0,7/1/17,12/1/19,0,0,156,1.5,202,28.6,675,15,0,0,0,0,213,0.9,0,0,0,0,196,22.2,156,23.5,89,3.5,405,15.9,202,16.7
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,Mobile,(251) 633-1000,1,176,39.9,7/1/17,12/1/19,176,39.9,439,31.8,392,5,1426,15.1,0,0,0,0,422,1.1,176,15.8,94,13.4,224,19.8,439,20.4,271,3,1139,15.5,392,15.3
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,(251) 275-3191,0,0,0,7/1/17,12/1/19,0,0,26,-22,47,-18.8,334,16.2,0,0,0,0,0,0,0,0,0,0,28,19.1,26,21.9,0,0,30,15.5,47,15.8
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 759-7111,0,288,5.7,7/1/17,12/1/19,288,5.7,820,30,895,39.9,417,17.2,311,12.2,311,5.2,775,1,288,15.1,81,12,632,18.5,820,23.4,511,4.4,2269,15.7,895,18.1
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,Hale,(334) 624-3024,1,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15.3,0,0
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,Elmore,(334) 567-4311,0,0,0,7/1/17,12/1/19,0,0,0,0,25,5.6,54,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,15.9,25,16.9
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,Escambia,(251) 867-8061,1,0,0,7/1/17,12/1/19,0,0,77,-7.5,106,-14,279,18.7,34,13.3,34,8,0,0,0,0,0,0,75,19.2,77,21.5,0,0,166,15.2,106,16.6
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,Baldwin,(251) 928-2375,0,187,11.3,7/1/17,12/1/19,187,11.3,290,-3.3,323,-1.7,1572,16.3,0,0,0,0,700,1,187,17.4,156,15.5,121,19.1,290,20.7,383,3.8,1083,15.8,323,15.7
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,Talladega,(256) 761-4542,1,0,0,7/1/17,12/1/19,0,0,71,-9.7,68,6.7,157,15.6,0,0,0,0,0,0,0,0,0,0,48,19.2,71,22.6,0,0,117,15.1,68,16.7
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,Wilcox,(334) 682-4131,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,Jefferson,(205) 783-3800,0,164,-11.5,7/1/17,12/1/19,164,-11.5,295,14.5,211,25.8,752,16.6,0,0,0,0,283,0.9,164,15,94,13.2,147,20.1,295,22.6,137,3.9,835,14.9,211,17.2
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,Jefferson,(205) 971-1000,0,247,-4.6,7/1/17,12/1/19,247,-4.6,509,3.8,419,40.3,852,15.6,0,0,0,0,1134,1,247,15.7,97,12.8,204,19.3,509,21,538,4.8,1726,16.4,419,17.6
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,Autauga,(334) 361-4267,1,0,0,7/1/17,12/1/19,0,0,148,-10.4,201,18,372,16.6,0,0,0,0,0,0,0,0,0,0,181,18.7,148,20.8,0,0,207,15.3,201,17.1
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,Bullock,(334) 738-2140,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15.8,0,0
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,Marengo,(334) 289-4000,1,0,0,7/1/17,12/1/19,0,0,50,20.4,52,65.5,197,15.4,56,13,56,6.2,0,0,0,0,0,0,43,19.1,50,22.8,0,0,74,15.3,52,16.3
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,Mobile,(251) 435-4700,0,193,6.5,7/1/17,12/1/19,193,6.5,556,36.9,534,46.9,1604,15.2,79,11.8,79,4.7,653,1.4,193,16.5,87,14.9,315,19.9,556,21.3,435,3.4,1934,15.5,534,17.9
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,Jefferson,(205) 481-7000,1,0,0,7/1/17,12/1/19,0,0,106,47,210,-6.8,644,15.3,0,0,0,0,130,1.2,0,0,0,0,129,19,106,22.9,26,4.4,345,15.4,210,15.5
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,Dallas,(334) 418-4100,0,29,-36,7/1/17,12/1/19,29,-36,176,30.3,160,-6.7,368,18.8,0,0,0,0,36,1.1,29,15.1,0,0,92,19.4,176,23.9,0,0,332,15.3,160,16.2
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,Monroe,(251) 575-3111,1,0,0,7/1/17,12/1/19,0,0,49,-4.8,74,5,324,18.9,0,0,0,0,0,0,0,0,0,0,40,19.9,49,22,0,0,66,15.2,74,17.1
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,Winston,(205) 485-7117,0,0,0,7/1/17,12/1/19,0,0,29,-14,346,-15.3,0,0,0,0,0,0,0,0,0,0,0,0,284,16.9,29,21.8,0,0,185,13.6,346,13.9
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,Pike,(334) 670-5000,1,0,0,7/1/17,12/1/19,0,0,46,-2.2,77,35.8,401,17.9,0,0,0,0,37,1.2,0,0,0,0,64,19.9,46,22.4,31,4.2,100,15.4,77,17.6
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,Clarke,(251) 246-9021,1,0,0,7/1/17,12/1/19,0,0,32,41.3,42,-18.4,0,0,0,0,0,0,0,0,0,0,0,0,34,20.6,32,23.7,0,0,38,15.3,42,16.6
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,Baldwin,(251) 937-5521,1,0,0,7/1/17,12/1/19,0,0,37,-9.6,68,-12.5,126,16.8,26,12.2,26,5.7,32,1,0,0,0,0,31,19.6,37,22.2,0,0,83,16,68,16.4
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,Saint Clair,(205) 338-3301,1,0,0,7/1/17,12/1/19,0,0,63,34.6,189,2.6,401,15.4,0,0,0,0,49,1.1,0,0,0,0,80,20.1,63,22.8,0,0,161,15.6,189,15.7
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,Madison,(256) 882-3100,0,134,21,7/1/17,12/1/19,134,21,239,35.3,429,5.6,2259,15.9,0,0,0,0,1020,0.9,134,16,0,0,271,19.6,239,20.7,670,3.7,1120,14.9,429,16.7
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,Sumter,(205) 392-5263,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 877-1000,1,131,31.4,7/1/17,12/1/19,131,31.4,211,27.3,258,38.4,337,16.6,0,0,0,0,625,0.9,131,16.9,89,15.5,187,19.6,211,22.2,258,4.6,870,15.9,258,17.3
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,Mobile,(251) 344-9630,1,90,47.5,7/1/17,12/1/19,90,47.5,351,35.7,267,20.9,290,14.8,0,0,0,0,395,1,90,16.5,47,12.4,164,21.3,351,23.8,240,4,773,16.1,267,17.6
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,Conecuh,(251) 578-2480,1,0,0,7/1/17,12/1/19,0,0,86,6.7,135,-6.5,113,17,0,0,0,0,0,0,0,0,0,0,153,19.8,86,22,0,0,196,16.3,135,18.6
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,Montgomery,(334) 244-8330,1,0,0,7/1/17,12/1/19,0,0,194,7.8,240,9.3,2485,15.2,0,0,0,0,91,0.8,0,0,0,0,141,19.6,194,20.4,0,0,444,15.2,240,15.7
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,0,97,16.8,7/1/17,12/1/19,97,16.8,623,-10.1,357,30.6,0,0,0,0,0,0,0,0,97,16.5,0,0,289,21.8,623,21.3,153,4.3,1348,17.1,357,16.4
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,Butler,(334) 382-2200,1,0,0,7/1/17,12/1/19,0,0,40,15.3,42,-0.1,272,17.9,0,0,0,0,42,1,0,0,0,0,58,19.8,40,22.9,0,0,88,15.2,42,17.3
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,Colbert,(256) 386-1601,0,0,0,7/1/17,12/1/19,0,0,29,19.7,65,-18.6,343,17.1,0,0,0,0,51,1.1,0,0,0,0,43,20.2,29,22,0,0,42,15.3,65,16.4
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,Franklin,(256) 332-1611,1,0,0,7/1/17,12/1/19,0,0,56,6.7,128,6.5,155,17.6,0,0,0,0,69,1.1,0,0,0,0,129,21.9,56,21.1,36,3.7,163,15.5,128,17.6
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,Talladega,(256) 249-5000,1,0,0,7/1/17,12/1/19,0,0,107,22.6,138,16.7,465,17.9,56,11.9,56,8.9,94,1,0,0,0,0,75,20.2,107,23.2,35,3.9,209,15.3,138,17.1
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,Russell,(334) 732-3000,1,0,0,7/1/17,12/1/19,0,0,26,-35.3,26,49.8,175,16.8,0,0,0,0,264,1,0,0,0,0,28,19.4,26,20.5,1016,3.3,429,15.2,26,16.6
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,Escambia,(251) 368-2500,1,0,0,7/1/17,12/1/19,0,0,63,-27.8,83,6,164,16.9,0,0,0,0,0,0,0,0,0,0,41,19.7,63,21.8,0,0,79,15.5,83,17.8
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,Chilton,(205) 258-4400,1,0,0,7/1/17,12/1/19,0,0,0,0,32,12.6,208,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15.5,32,17.1
10174,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,AL,36784,Clarke,(205) 873-1442,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10175,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,New York,(334) 756-9180,0,0,0,7/1/17,12/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
